image_path,image_index,original_confidence,patched_confidence,confidence_change,confidence_change_pct,best_iou,ground_truth_bbox,detected_bbox,detection_text,text_confidence,num_detections,patch_applied,error
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0285_processed.png,0,0.5479527711868286,0.47450754046440125,-0.07344523072242737,-13.403569538183003,0.5228918237049699,"[219.73333740234375, 156.8000030517578, 237.5111083984375, 166.04444885253906]","[216.0, 153.0, 240.0, 166.0]",4MG171,0.47450754046440125,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0305_processed.png,1,0.5443636178970337,0.40139493346214294,-0.14296868443489075,-26.263453275441574,0.5571839428254558,"[201.95555114746094, 147.1999969482422, 221.86666870117188, 159.2888946533203]","[198.0, 144.0, 225.0, 160.0]",EWP774,0.40139493346214294,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0325_processed.png,2,0.5628585815429688,0.5076360702514648,-0.055222511291503906,-9.811080989495087,0.46779971918508906,"[162.4888916015625, 136.88888549804688, 184.1777801513672, 148.62222290039062]","[157.0, 133.0, 189.0, 150.0]",3P1744,0.5076360702514648,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0345_processed.png,3,0.7585394382476807,0.5390615463256836,-0.21947789192199707,-28.93427564280876,0.4298272448881214,"[113.06666564941406, 124.0888900756836, 137.24444580078125, 136.1777801513672]","[108.0, 119.0, 142.0, 139.0]",B11774,0.5390615463256836,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0355_processed.png,4,0.9679816365242004,0.6368287801742554,-0.33115285634994507,-34.21065481562635,0.4664572182065005,"[90.66666412353516, 122.31111145019531, 116.26667022705078, 135.46665954589844]","[84.0, 119.0, 122.0, 138.0]",VPJ7774,0.6368287801742554,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0365_processed.png,5,0.9640076756477356,0.7161170840263367,-0.24789059162139893,-25.714586914967914,0.5060115659836141,"[72.88888549804688, 114.84444427490234, 100.62222290039062, 128.7111053466797]","[67.0, 111.0, 105.0, 131.0]",TRJ7774,0.7161170840263367,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0375_processed.png,6,0.8203113079071045,0.7695317268371582,-0.05077958106994629,-6.190281735784238,0.5621164957682292,"[67.19999694824219, 108.0888900756836, 96.71111297607422, 124.0888900756836]","[62.0, 104.0, 102.0, 125.0]",VVJ777,0.7695317268371582,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0385_processed.png,7,0.9412429332733154,0.8799058794975281,-0.061337053775787354,-6.516601783397026,0.463768115942029,"[64.35555267333984, 108.80000305175781, 96.35555267333984, 124.80000305175781]","[56.0, 104.0, 102.0, 128.0]",VVJ7774,0.8799058794975281,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0395_processed.png,8,0.9978850483894348,0.900593638420105,-0.09729140996932983,-9.74976127023409,0.5108390329288702,"[65.42222595214844, 99.9111099243164, 100.62222290039062, 118.4000015258789]","[58.0, 95.0, 107.0, 121.0]",VRJ7774,0.900593638420105,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0415_processed.png,9,0.8824216723442078,0.8668603897094727,-0.015561282634735107,-1.7634746655072056,0.556246918656595,"[84.26667022705078, 92.80000305175781, 124.80000305175781, 116.26667022705078]","[75.0, 87.0, 132.0, 117.0]",VJ77744,0.8668603897094727,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0425_processed.png,10,0.9978286027908324,0.8328569531440735,-0.16497164964675892,-16.5330648154752,0.5047617215112004,"[94.22222137451172, 85.68888854980469, 138.3111114501953, 110.93333435058594]","[84.0, 79.0, 147.0, 114.0]",VAJ7744,0.8328569531440735,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0435_processed.png,11,0.9999291896820068,0.9324703216552734,-0.0674588680267334,-6.746364514889937,0.5572448931096501,"[108.44444274902344, 85.68888854980469, 156.08888244628906, 115.9111099243164]","[98.0, 79.0, 166.0, 117.0]",VJ77744,0.9324703216552734,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0445_processed.png,12,0.9999158382415771,0.9318767189979553,-0.06803911924362183,-6.804484601751428,0.5571992573963164,"[128.35556030273438, 93.86666870117188, 179.1999969482422, 129.06666564941406]","[117.0, 86.0, 190.0, 130.0]",VJ7774,0.9318767189979553,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0455_processed.png,13,0.9998941421508788,0.972535252571106,-0.027358889579772838,-2.7361786039591105,0.5369800832808184,"[142.57777404785156, 100.97777557373047, 197.6888885498047, 141.5111083984375]","[130.0, 93.0, 210.0, 145.0]",VJJ7744,0.972535252571106,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0465_processed.png,14,0.9999629259109496,0.9641974568367004,-0.03576546907424916,-3.5766795095595576,0.5223215969742803,"[167.11111450195312, 113.06666564941406, 222.57777404785156, 161.42222595214844]","[156.0, 103.0, 235.0, 168.0]",VJ77744,0.9641974568367004,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0475_processed.png,15,0.9999408721923828,0.9315857291221619,-0.06835514307022095,-6.835918499896043,0.5162088601700119,"[201.24444580078125, 127.28888702392578, 257.0666809082031, 183.46665954589844]","[189.0, 118.0, 270.0, 193.0]",VRJ7774,0.9315857291221619,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0485_processed.png,16,0.9996719360351562,0.9333926439285278,-0.06627929210662842,-6.63010430896977,0.53151165282173,"[235.73333740234375, 143.64443969726562, 290.8444519042969, 207.64443969726562]","[223.0, 132.0, 302.0, 216.0]",VRJ7774,0.9333926439285278,1,True,
/Users/sahana/Coding/research/lplate/test_set/test_preproc_images/IMG_5933_frame_0495_processed.png,17,0.9991949796676636,0.8051490783691406,-0.19404590129852295,-19.420223804873743,0.44024916840099887,"[272.3555603027344, 184.88888549804688, 324.26666259765625, 255.64443969726562]","[258.0, 169.0, 339.0, 272.0]",VRJ7744,0.8051490783691406,1,True,
